antecedents,consequents,antecedent support,consequent support,support,confidence,lift,leverage,conviction,zhangs_metric
"frozenset({'Application order_1', 'Nacionality_1', 'Educational special needs_0'})",frozenset({'International_0'}),0.6595840867992767,0.9751356238698011,0.6595840867992767,1.0,1.0254983773759851,0.01640014682367097,inf,0.07304116865869847
"frozenset({'Nacionality_1', 'Educational special needs_0', 'Scholarship holder_0', 'Tuition fees up to date_1'})",frozenset({'International_0'}),0.620253164556962,0.9751356238698011,0.620253164556962,1.0,1.0254983773759851,0.015422207979490454,inf,0.06547619047619042
"frozenset({'Debtor_0', 'International_0', 'Educational special needs_0', 'Scholarship holder_0'})",frozenset({'Nacionality_1'}),0.635623869801085,0.9751356238698011,0.635623869801085,1.0,1.0254983773759851,0.015804390976066784,inf,0.06823821339950382
"frozenset({'Tuition fees up to date_1', 'Debtor_0', 'International_0', 'Previous qualification_1', 'Educational special needs_0'})",frozenset({'Nacionality_1'}),0.6837703435804702,0.9751356238698011,0.6837703435804702,1.0,1.0254983773759851,0.017001523009460118,inf,0.07862759113652593
"frozenset({'Nacionality_1', 'Debtor_0', 'Educational special needs_0', 'Scholarship holder_0'})",frozenset({'International_0'}),0.635623869801085,0.9751356238698011,0.635623869801085,1.0,1.0254983773759851,0.015804390976066784,inf,0.06823821339950382
"frozenset({'Tuition fees up to date_1', 'Nacionality_1', 'Debtor_0', 'Previous qualification_1', 'Educational special needs_0'})",frozenset({'International_0'}),0.6837703435804702,0.9751356238698011,0.6837703435804702,1.0,1.0254983773759851,0.017001523009460118,inf,0.07862759113652593
"frozenset({'Tuition fees up to date_1', 'Marital status_1', 'Debtor_0', 'International_0', 'Previous qualification_1', 'Educational special needs_0'})",frozenset({'Nacionality_1'}),0.629746835443038,0.9751356238698011,0.629746835443038,1.0,1.0254983773759851,0.015658262183258165,inf,0.06715506715506711
"frozenset({'Debtor_0', 'International_0', 'Educational special needs_0', 'Tuition fees up to date_1'})",frozenset({'Nacionality_1'}),0.796112115732369,0.9751356238698011,0.796112115732369,1.0,1.0254983773759851,0.019794831087378006,inf,0.12195121951219477
"frozenset({'Nacionality_1', 'Debtor_0', 'Educational special needs_0', 'Tuition fees up to date_1'})",frozenset({'International_0'}),0.796112115732369,0.9751356238698011,0.796112115732369,1.0,1.0254983773759851,0.019794831087378006,inf,0.12195121951219477
"frozenset({'Tuition fees up to date_1', 'Daytime/evening attendance\t_1', 'Debtor_0', 'International_0', 'Educational special needs_0'})",frozenset({'Nacionality_1'}),0.7113471971066908,0.9751356238698011,0.7113471971066908,1.0,1.0254983773759851,0.017687204268023504,inf,0.08613938919342208
"frozenset({'Nacionality_1', 'Marital status_1', 'Educational special needs_0', 'Daytime/evening attendance\t_1'})",frozenset({'International_0'}),0.7915913200723327,0.9751356238698011,0.7915913200723327,1.0,1.0254983773759851,0.01968242432367917,inf,0.11930585683297185
"frozenset({'Marital status_1', 'International_0', 'Daytime/evening attendance\t_1', 'Educational special needs_0'})",frozenset({'Nacionality_1'}),0.7915913200723327,0.9751356238698011,0.7915913200723327,1.0,1.0254983773759851,0.01968242432367917,inf,0.11930585683297185
"frozenset({'Application order_1', 'Nacionality_1'})",frozenset({'International_0'}),0.6659132007233273,0.9751356238698011,0.6659132007233273,1.0,1.0254983773759851,0.016557516292849406,inf,0.07442489851150179
"frozenset({'Application order_1', 'International_0'})",frozenset({'Nacionality_1'}),0.6659132007233273,0.9751356238698011,0.6659132007233273,1.0,1.0254983773759851,0.016557516292849406,inf,0.07442489851150179
"frozenset({'Tuition fees up to date_1', 'Nacionality_1', 'Daytime/evening attendance\t_1', 'Debtor_0', 'Educational special needs_0'})",frozenset({'International_0'}),0.7113471971066908,0.9751356238698011,0.7113471971066908,1.0,1.0254983773759851,0.017687204268023504,inf,0.08613938919342208
"frozenset({'Marital status_1', 'International_0', 'Daytime/evening attendance\t_1'})",frozenset({'Nacionality_1'}),0.8024412296564195,0.9751356238698011,0.8024412296564195,1.0,1.0254983773759851,0.019952200556556554,inf,0.12585812356979412
"frozenset({'Nacionality_1', 'Debtor_0', 'Marital status_1', 'Daytime/evening attendance\t_1'})",frozenset({'International_0'}),0.7188065099457505,0.9751356238698011,0.7188065099457505,1.0,1.0254983773759851,0.01787267542812665,inf,0.08842443729903508
"frozenset({'Nacionality_1', 'Marital status_1', 'Daytime/evening attendance\t_1'})",frozenset({'International_0'}),0.8024412296564195,0.9751356238698011,0.8024412296564195,1.0,1.0254983773759851,0.019952200556556554,inf,0.12585812356979412
"frozenset({'Debtor_0', 'Marital status_1', 'International_0', 'Daytime/evening attendance\t_1'})",frozenset({'Nacionality_1'}),0.7188065099457505,0.9751356238698011,0.7188065099457505,1.0,1.0254983773759851,0.01787267542812665,inf,0.08842443729903508
"frozenset({'Debtor_0', 'Previous qualification_1', 'International_0', 'Tuition fees up to date_1'})",frozenset({'Nacionality_1'}),0.6930379746835443,0.9751356238698011,0.6930379746835443,1.0,1.0254983773759851,0.017231956875042864,inf,0.08100147275404983
"frozenset({'Nacionality_1', 'Marital status_1', 'Daytime/evening attendance\t_1', 'Tuition fees up to date_1'})",frozenset({'International_0'}),0.7201627486437613,0.9751356238698011,0.7201627486437613,1.0,1.0254983773759851,0.017906397457236323,inf,0.08885298869143751
"frozenset({'Marital status_1', 'International_0', 'Daytime/evening attendance\t_1', 'Tuition fees up to date_1'})",frozenset({'Nacionality_1'}),0.7201627486437613,0.9751356238698011,0.7201627486437613,1.0,1.0254983773759851,0.017906397457236323,inf,0.08885298869143751
